,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后
0,data/cut_3/R000183B1_C00034AD0_0.png,484.5,389.0,520.0,375.0,科研机构,141300,R000183B1,C00034AD0,o中国城多发展国瑞德棋苑际交流协会研究部,229.5,134.0,R000183B1,C00034AD0,9.0,120.0,R000183B2,C00034AD0
1,data/cut_3/R000183B1_C00034AD0_1.png,551.0,535.5,614.0,541.0,高等院校,050000,R000183B1,C00034AD0,畅春园、畅春新园学生公寓办公室,40.0,24.5,R000183B2,C00034AD1,103.0,30.0,R000183B2,C00034AD1
2,data/cut_3/R000183B1_C00034AD0_2.png,641.5,320.5,602.0,317.0,通行设施,990000,R000183B1,C00034AD0,E燕园街道办事南1门处职业介绍所,130.5,65.5,R000183B2,C00034AD0,91.0,62.0,R000183B2,C00034AD0
3,data/cut_3/R000183B1_C00034AD0_3.png,235.0,609.5,,,,,R000183B1,C00034AD0,畅春新园体育休闲广场,235.0,98.5,R000183B0,C00034AD1,,,,
4,data/cut_3/R000183B1_C00034AD0_4.png,139.0,409.0,143.0,402.0,运动场馆,080100,R000183B1,C00034AD0,悠季瑜伽北大会馆,139.0,154.0,R000183B0,C00034AD0,143.0,147.0,R000183B0,C00034AD0
5,data/cut_3/R000183B1_C00034AD0_5.png,588.5,754.0,,,,,R000183B1,C00034AD0,中国体育彩票,77.5,243.0,R000183B2,C00034AD1,,,,
6,data/cut_3/R000183B1_C00034AD0_6.png,302.5,349.0,,,,,R000183B1,C00034AD0,畅春园路,47.5,94.0,R000183B1,C00034AD0,,,,
7,data/cut_3/R000183B1_C00034AD0_7.png,541.5,270.0,,,,,R000183B1,C00034AD0,63号楼,30.5,15.0,R000183B2,C00034AD0,,,,
8,data/cut_3/R000183B1_C00034AD0_8.png,107.0,286.5,,,,,R000183B1,C00034AD0,o社区活动室,107.0,31.5,R000183B0,C00034AD0,,,,
9,data/cut_3/R000183B1_C00034AD0_9.png,72.0,355.0,74.0,368.0,通行设施,990000,R000183B1,C00034AD0,北1门E,72.0,100.0,R000183B0,C00034AD0,74.0,113.0,R000183B0,C00034AD0
10,data/cut_3/R000183B1_C00034AD0_10.png,424.0,345.5,427.0,341.0,通行设施,990000,R000183B1,C00034AD0,E南2门,169.0,90.5,R000183B1,C00034AD0,172.0,86.0,R000183B1,C00034AD0
11,data/cut_3/R000183B1_C00034AD0_11.png,705.5,541.0,,,,,R000183B1,C00034AD0,大学韧春新园,194.5,30.0,R000183B2,C00034AD1,,,,
12,data/cut_3/R000183B1_C00034AD0_12.png,117.5,335.5,122.0,331.0,通行设施,990000,R000183B1,C00034AD0,南门,117.5,80.5,R000183B0,C00034AD0,122.0,76.0,R000183B0,C00034AD0
13,data/cut_3/R000183B1_C00034AD0_13.png,705.0,261.5,,,,,R000183B1,C00034AD0,57号楼,194.0,6.5,R000183B2,C00034AD0,,,,
14,data/cut_3/R000183B1_C00034AD0_14.png,29.5,302.0,,,,,R000183B1,C00034AD0,55号楼,29.5,47.0,R000183B0,C00034AD0,,,,
15,data/cut_3/R000183B1_C00034AD0_15.png,736.0,678.5,,,,,R000183B1,C00034AD0,1号楼,225.0,167.5,R000183B2,C00034AD1,,,,
16,data/cut_3/R000183B1_C00034AD0_16.png,659.5,384.0,,,,,R000183B1,C00034AD0,4号楼,148.5,129.0,R000183B2,C00034AD0,,,,
17,data/cut_3/R000183B1_C00034AD0_17.png,635.0,484.5,,,,,R000183B1,C00034AD0,3号楼,124.0,229.5,R000183B2,C00034AD0,,,,
18,data/cut_3/R000183B1_C00034AD0_18.png,659.5,542.0,,,,,R000183B1,C00034AD0,北京,148.5,31.0,R000183B2,C00034AD1,,,,
19,data/cut_3/R000183B1_C00034AE4_0.png,240.0,320.0,190.0,366.0,通行设施,990000,R000183B1,C00034AE4,成府路北门,240.0,65.0,R000183B0,C00034AE4,190.0,111.0,R000183B0,C00034AE4
20,data/cut_3/R000183B1_C00034AE4_1.png,417.5,418.0,422.0,402.0,公检法机构,130500,R000183B1,C00034AE4,日科技园区警务工作室,162.5,163.0,R000183B1,C00034AE4,167.0,147.0,R000183B1,C00034AE4
21,data/cut_3/R000183B1_C00034AE4_2.png,291.0,498.5,,,,,R000183B1,C00034AE4,北京小背签搬家有限公司,36.0,243.5,R000183B1,C00034AE4,,,,
22,data/cut_3/R000183B1_C00034AE4_3.png,739.5,585.0,745.0,573.0,通行设施,990000,R000183B1,C00034AE4,E大通成府公馆(东北门),228.5,74.0,R000183B2,C00034AE5,234.0,62.0,R000183B2,C00034AE5
23,data/cut_3/R000183B1_C00034AE4_4.png,440.5,537.5,443.0,526.0,通行设施,990000,R000183B1,C00034AE4,大通成府公馆(北门),185.5,26.5,R000183B1,C00034AE5,188.0,15.0,R000183B1,C00034AE5
24,data/cut_3/R000183B1_C00034AE4_5.png,701.5,270.0,,,,,R000183B1,C00034AE4,成府路,190.5,15.0,R000183B2,C00034AE4,,,,
25,data/cut_3/R000183B1_C00034AE4_6.png,97.0,453.0,100.0,445.0,楼宇,120200,R000183B1,C00034AE4,三才堂写字楼,97.0,198.0,R000183B0,C00034AE4,100.0,190.0,R000183B0,C00034AE4
26,data/cut_3/R000183B1_C00034AE4_7.png,401.0,475.0,,,,,R000183B1,C00034AE4,科馨社区服务站,146.0,220.0,R000183B1,C00034AE4,,,,
27,data/cut_3/R000183B1_C00034AE4_8.png,637.5,396.0,641.0,391.0,餐饮服务,050000,R000183B1,C00034AE4,胖胖家常菜,126.5,141.0,R000183B2,C00034AE4,130.0,136.0,R000183B2,C00034AE4
28,data/cut_3/R000183B1_C00034AE4_9.png,599.5,601.0,,,,,R000183B1,C00034AE4,大通成府公馆,88.5,90.0,R000183B2,C00034AE5,,,,
29,data/cut_3/R000183B1_C00034AE4_10.png,502.5,455.5,506.0,447.0,楼宇,120200,R000183B1,C00034AE4,腰蓝润大厦,247.5,200.5,R000183B1,C00034AE4,251.0,192.0,R000183B1,C00034AE4
30,data/cut_3/R000183B1_C00034AE4_11.png,741.5,513.5,,,,,R000183B1,C00034AE4,清华园钞,230.5,2.5,R000183B2,C00034AE5,,,,
31,data/cut_3/R000183B1_C00034AE4_12.png,529.5,325.5,,,,,R000183B1,C00034AE4,成府路,18.5,70.5,R000183B2,C00034AE4,,,,
32,data/cut_3/R000183B1_C00034AE4_13.png,183.0,533.0,,,,,R000183B1,C00034AE4,科馨社区,183.0,22.0,R000183B0,C00034AE5,,,,
33,data/cut_3/R000183B1_C00034AE4_14.png,336.0,374.5,364.0,380.0,便民商店,060200,R000183B1,C00034AE4,超市发,81.0,119.5,R000183B1,C00034AE4,109.0,125.0,R000183B1,C00034AE4
34,data/cut_3/R000183B1_C00034AE4_15.png,701.5,465.0,705.0,460.0,通行设施,990000,R000183B1,C00034AE4,西南门,190.5,210.0,R000183B2,C00034AE4,194.0,205.0,R000183B2,C00034AE4
35,data/cut_3/R000183B1_C00034AE4_16.png,224.5,748.5,228.0,740.0,通行设施,990000,R000183B1,C00034AE4,北门,224.5,237.5,R000183B0,C00034AE5,228.0,229.0,R000183B0,C00034AE5
36,data/cut_3/R000183B1_C00034AE4_17.png,177.0,716.5,181.0,711.0,通行设施,990000,R000183B1,C00034AE4,南门,177.0,205.5,R000183B0,C00034AE5,181.0,200.0,R000183B0,C00034AE5
37,data/cut_3/R000183B1_C00034AE4_18.png,591.5,668.5,595.0,664.0,通行设施,990000,R000183B1,C00034AE4,,80.5,157.5,R000183B2,C00034AE5,84.0,153.0,R000183B2,C00034AE5
38,data/cut_3/R000183B1_C00034AE4_19.png,534.0,259.0,,,,,R000183B1,C00034AE4,,23.0,4.0,R000183B2,C00034AE4,,,,
39,data/cut_3/R000183B1_C00034AE4_20.png,699.5,758.5,702.0,758.0,幼儿园,141204,R000183B1,C00034AE4,,188.5,247.5,R000183B2,C00034AE5,191.0,247.0,R000183B2,C00034AE5
40,data/cut_3/R000183B1_C00034AE4_21.png,40.5,271.0,,,,,R000183B1,C00034AE4,,40.5,16.0,R000183B0,C00034AE4,,,,
41,data/cut_3/R000183B1_C00034AE4_22.png,6.5,537.0,,,,,R000183B1,C00034AE4,,6.5,26.0,R000183B0,C00034AE5,,,,
42,data/cut_3/R000183B1_C00034AE4_23.png,686.0,641.0,,,,,R000183B1,C00034AE4,1号楼,175.0,130.0,R000183B2,C00034AE5,,,,
43,data/cut_3/R000183B1_C00034AE4_24.png,26.5,659.5,,,,,R000183B1,C00034AE4,2号楼,26.5,148.5,R000183B0,C00034AE5,,,,
44,data/cut_3/R000183B1_C00034AE4_25.png,223.5,467.5,,,,,R000183B1,C00034AE4,2号楼,223.5,212.5,R000183B0,C00034AE4,,,,
45,data/cut_3/R000183B1_C00034AE4_26.png,92.5,576.0,,,,,R000183B1,C00034AE4,4号楼,92.5,65.0,R000183B0,C00034AE5,,,,
46,data/cut_3/R000183B1_C00034AE4_27.png,666.5,547.5,,,,,R000183B1,C00034AE4,2号楼,155.5,36.5,R000183B2,C00034AE5,,,,
47,data/cut_3/R000183B1_C00034AE4_28.png,718.0,424.0,,,,,R000183B1,C00034AE4,4号楼,207.0,169.0,R000183B2,C00034AE4,,,,
48,data/cut_3/R000183B1_C00034AE4_29.png,54.5,497.5,,,,,R000183B1,C00034AE4,5号楼,54.5,242.5,R000183B0,C00034AE4,,,,
49,data/cut_3/R000183B1_C00034AE4_30.png,567.0,763.0,,,,,R000183B1,C00034AE4,,56.0,252.0,R000183B2,C00034AE5,,,,
50,data/cut_3/R000183B1_C00034AE4_31.png,518.0,555.5,,,,,R000183B1,C00034AE4,6号楼,7.0,44.5,R000183B2,C00034AE5,,,,
51,data/cut_3/R000183B1_C00034AE4_32.png,299.0,555.5,,,,,R000183B1,C00034AE4,3号楼,44.0,44.5,R000183B1,C00034AE5,,,,
52,data/cut_3/R000183B1_C00034AE4_33.png,519.0,636.5,,,,,R000183B1,C00034AE4,号楼,8.0,125.5,R000183B2,C00034AE5,,,,
53,data/cut_3/R000183B1_C00034AE4_34.png,149.0,338.0,152.0,341.0,公交车站,150700,R000183B1,C00034AE4,,149.0,83.0,R000183B0,C00034AE4,152.0,86.0,R000183B0,C00034AE4
54,data/cut_3/R000183B1_C00034AE4_35.png,576.0,258.5,,,,,R000183B1,C00034AE4,,65.0,3.5,R000183B2,C00034AE4,,,,
