,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后
0,data/cut_3/R000183B1_C00034AD0_0.png,484.5,389.0,520.0,375.0,科研机构,141300,R000183B1,C00034AD0,o中国城多发展国瑞德棋苑际交流协会研究部,,229.5,134.0,R000183B1,C00034AD0,9.0,120.0,R000183B2,C00034AD0
1,data/cut_3/R000183B1_C00034AD0_6.png,302.5,349.0,,,,,R000183B1,C00034AD0,畅春园路,,47.5,94.0,R000183B1,C00034AD0,,,,
2,data/cut_3/R000183B1_C00034AD0_10.png,424.0,345.5,427.0,341.0,通行设施,990000,R000183B1,C00034AD0,E南2门,,169.0,90.5,R000183B1,C00034AD0,172.0,86.0,R000183B1,C00034AD0
3,data/cut_3/R000183B1_C00034AE4_1.png,417.5,418.0,422.0,402.0,公检法机构,130500,R000183B1,C00034AE4,日科技园区警务工作室,,162.5,163.0,R000183B1,C00034AE4,167.0,147.0,R000183B1,C00034AE4
4,data/cut_3/R000183B1_C00034AE4_2.png,291.0,498.5,,,,,R000183B1,C00034AE4,北京小背签搬家有限公司,,36.0,243.5,R000183B1,C00034AE4,,,,
5,data/cut_3/R000183B1_C00034AE4_7.png,401.0,475.0,,,,,R000183B1,C00034AE4,科馨社区服务站,,146.0,220.0,R000183B1,C00034AE4,,,,
6,data/cut_3/R000183B1_C00034AE4_10.png,502.5,455.5,506.0,447.0,楼宇,120200,R000183B1,C00034AE4,腰蓝润大厦,,247.5,200.5,R000183B1,C00034AE4,251.0,192.0,R000183B1,C00034AE4
7,data/cut_3/R000183B1_C00034AE4_14.png,336.0,374.5,364.0,380.0,便民商店,060200,R000183B1,C00034AE4,超市发,,81.0,119.5,R000183B1,C00034AE4,109.0,125.0,R000183B1,C00034AE4
8,data/cut_3/R000183B1_C00034ADF_4.png,483.5,278.0,487.0,280.0,交通银行,160108,R000183B1,C00034ADF,交通银行,,228.5,23.0,R000183B1,C00034ADF,232.0,25.0,R000183B1,C00034ADF
9,data/cut_3/R000183B1_C00034ADF_8.png,420.0,461.5,423.0,454.0,楼宇,120200,R000183B1,C00034ADF,中科科仪,,165.0,206.5,R000183B1,C00034ADF,168.0,199.0,R000183B1,C00034ADF
10,data/cut_3/R000183B1_C00034ADF_9.png,327.0,456.0,328.0,449.0,专卖店,061200,R000183B1,C00034ADF,今日电器,,72.0,201.0,R000183B1,C00034ADF,73.0,194.0,R000183B1,C00034ADF
11,data/cut_3/R000183B1_C00034ADF_14.png,416.0,314.5,419.0,310.0,通行设施,990000,R000183B1,C00034ADF,E南4门,,161.0,59.5,R000183B1,C00034ADF,164.0,55.0,R000183B1,C00034ADF
12,data/cut_3/R000183B1_C00034ADF_16.png,424.5,380.5,,,,,R000183B1,C00034ADF,成府路,,169.5,125.5,R000183B1,C00034ADF,,,,
