,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,wx,wy,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,ix,iy
0,data/cut_3/R000183B1_C00034AD0_0.png,484.5,389,520,375,科研机构,141300,R000183B1,C00034AD0,o中国城多发展国瑞德棋苑际交流协会研究部,,229.5,134,R000183B1,C00034AD0,C00034AD0_229.5,R000183B1_134,9,120,R000183B1,C00034AD1,C00034AD1_9,R000183B1_120
1,data/cut_3/R000183B1_C00034AD0_6.png,302.5,349,,,,,R000183B1,C00034AD0,畅春园路,,47.5,94,R000183B1,C00034AD0,C00034AD0_47.5,R000183B1_94,,,,,,
2,data/cut_3/R000183B1_C00034AD0_10.png,424,345.5,427,341,通行设施,990000,R000183B1,C00034AD0,E南2门,,169,90.5,R000183B1,C00034AD0,C00034AD0_169,R000183B1_90.5,172,86,R000183B1,C00034AD0,C00034AD0_172,R000183B1_86
3,data/cut_3/R000183B1_C00034AE4_1.png,417.5,418,422,402,公检法机构,130500,R000183B1,C00034AE4,日科技园区警务工作室,,162.5,163,R000183B1,C00034AE4,C00034AE4_162.5,R000183B1_163,167,147,R000183B1,C00034AE4,C00034AE4_167,R000183B1_147
4,data/cut_3/R000183B1_C00034AE4_2.png,291,498.5,,,,,R000183B1,C00034AE4,北京小背签搬家有限公司,,36,243.5,R000183B1,C00034AE4,C00034AE4_36,R000183B1_243.5,,,,,,
5,data/cut_3/R000183B1_C00034AE4_7.png,401,475,,,,,R000183B1,C00034AE4,科馨社区服务站,,146,220,R000183B1,C00034AE4,C00034AE4_146,R000183B1_220,,,,,,
6,data/cut_3/R000183B1_C00034AE4_10.png,502.5,455.5,506,447,楼宇,120200,R000183B1,C00034AE4,腰蓝润大厦,"[['C00034AE4_252.0', 'R000183B1_218.5'], ['C00034AE4_251.5', 'R000183B1_219.0'], ['C00034AE4_251.5', 'R000183B1_220.0'], ['C00034AE4_251.5', 'R000183B1_221.0'], ['C00034AE4_251.5', 'R000183B1_222.0'], ['C00034AE4_251.5', 'R000183B1_223.0'], ['C00034AE4_251.5', 'R000183B1_224.0'], ['C00034AE4_251.5', 'R000183B1_225.0'], ['C00034AE4_251.5', 'R000183B1_226.0'], ['C00034AE4_251.5', 'R000183B1_227.0'], ['C00034AE4_251.5', 'R000183B1_228.0'], ['C00034AE4_251.5', 'R000183B1_229.0'], ['C00034AE4_251.5', 'R000183B1_230.0'], ['C00034AE4_251.5', 'R000183B1_231.0'], ['C00034AE4_251.5', 'R000183B1_232.0'], ['C00034AE4_251.5', 'R000183B1_233.0'], ['C00034AE4_251.5', 'R000183B1_234.0'], ['C00034AE4_251.5', 'R000183B1_235.0'], ['C00034AE4_251.5', 'R000183B1_236.0'], ['C00034AE4_251.5', 'R000183B1_237.0'], ['C00034AE4_251.5', 'R000183B1_238.0'], ['C00034AE4_251.5', 'R000183B1_239.0'], ['C00034AE4_251.5', 'R000183B1_240.0'], ['C00034AE4_251.5', 'R000183B1_241.0'], ['C00034AE4_251.5', 'R000183B1_242.0'], ['C00034AE4_251.5', 'R000183B1_243.0'], ['C00034AE4_251.5', 'R000183B1_244.0'], ['C00034AE4_251.5', 'R000183B1_245.0'], ['C00034AE4_251.5', 'R000183B1_246.0'], ['C00034AE4_251.5', 'R000183B1_247.0'], ['C00034AE4_251.5', 'R000183B1_248.0'], ['C00034AE4_251.5', 'R000183B1_249.0'], ['C00034AE4_251.5', 'R000183B1_250.0'], ['C00034AE4_251.5', 'R000183B1_251.0'], ['C00034AE4_251.0', 'R000183B1_251.5'], ['C00034AE4_250.5', 'R000183B1_252.0'], ['C00034AE4_250.5', 'R000183B1_253.0'], ['C00034AE4_250.5', 'R000183B1_254.0'], ['C00034AE4_250.5', 'R000183B1_255.0'], ['C00034AE4_250.5', 'R000183B2_0.0'], ['C00034AE4_250.5', 'R000183B2_1.0'], ['C00034AE4_250.5', 'R000183B2_2.0'], ['C00034AE4_250.5', 'R000183B2_3.0'], ['C00034AE4_250.5', 'R000183B2_4.0'], ['C00034AE4_250.5', 'R000183B2_5.0'], ['C00034AE4_250.5', 'R000183B2_6.0'], ['C00034AE4_250.5', 'R000183B2_7.0'], ['C00034AE4_250.5', 'R000183B2_8.0'], ['C00034AE4_250.5', 'R000183B2_9.0'], ['C00034AE4_250.5', 'R000183B2_10.0'], ['C00034AE4_250.5', 'R000183B2_11.0'], ['C00034AE4_250.5', 'R000183B2_12.0'], ['C00034AE4_250.5', 'R000183B2_13.0'], ['C00034AE4_250.5', 'R000183B2_14.0'], ['C00034AE4_250.5', 'R000183B2_15.0'], ['C00034AE4_250.5', 'R000183B2_16.0'], ['C00034AE4_250.5', 'R000183B2_17.0'], ['C00034AE4_250.5', 'R000183B2_18.0'], ['C00034AE4_250.5', 'R000183B2_19.0'], ['C00034AE4_250.5', 'R000183B2_20.0'], ['C00034AE4_250.5', 'R000183B2_21.0'], ['C00034AE4_250.5', 'R000183B2_22.0'], ['C00034AE4_250.5', 'R000183B2_23.0'], ['C00034AE4_250.5', 'R000183B2_24.0'], ['C00034AE4_250.5', 'R000183B2_25.0'], ['C00034AE4_250.5', 'R000183B2_26.0'], ['C00034AE4_250.5', 'R000183B2_27.0'], ['C00034AE4_250.5', 'R000183B2_28.0'], ['C00034AE4_250.5', 'R000183B2_29.0'], ['C00034AE4_250.0', 'R000183B2_29.5'], ['C00034AE4_249.5', 'R000183B2_30.0'], ['C00034AE4_249.5', 'R000183B2_31.0'], ['C00034AE4_249.5', 'R000183B2_32.0'], ['C00034AE4_249.0', 'R000183B2_32.5'], ['C00034AE4_248.5', 'R000183B2_33.0'], ['C00034AE4_248.0', 'R000183B2_33.5'], ['C00034AE4_247.5', 'R000183B2_34.0'], ['C00034AE4_247.0', 'R000183B2_34.5'], ['C00034AE4_246.0', 'R000183B2_34.5'], ['C00034AE4_245.0', 'R000183B2_34.5'], ['C00034AE4_244.0', 'R000183B2_34.5'], ['C00034AE4_243.0', 'R000183B2_34.5'], ['C00034AE4_242.0', 'R000183B2_34.5'], ['C00034AE4_241.0', 'R000183B2_34.5'], ['C00034AE4_240.0', 'R000183B2_34.5'], ['C00034AE4_239.0', 'R000183B2_34.5'], ['C00034AE4_238.0', 'R000183B2_34.5'], ['C00034AE4_237.0', 'R000183B2_34.5'], ['C00034AE4_236.0', 'R000183B2_34.5'], ['C00034AE4_235.0', 'R000183B2_34.5'], ['C00034AE4_234.0', 'R000183B2_34.5'], ['C00034AE4_233.0', 'R000183B2_34.5'], ['C00034AE4_232.5', 'R000183B2_34.0'], ['C00034AE4_232.0', 'R000183B2_33.5'], ['C00034AE4_231.0', 'R000183B2_33.5'], ['C00034AE4_230.0', 'R000183B2_33.5'], ['C00034AE4_229.0', 'R000183B2_33.5'], ['C00034AE4_228.0', 'R000183B2_33.5'], ['C00034AE4_227.0', 'R000183B2_33.5'], ['C00034AE4_226.0', 'R000183B2_33.5'], ['C00034AE4_225.0', 'R000183B2_33.5'], ['C00034AE4_224.0', 'R000183B2_33.5'], ['C00034AE4_223.0', 'R000183B2_33.5'], ['C00034AE4_222.0', 'R000183B2_33.5'], ['C00034AE4_221.0', 'R000183B2_33.5'], ['C00034AE4_220.0', 'R000183B2_33.5'], ['C00034AE4_219.0', 'R000183B2_33.5'], ['C00034AE4_218.0', 'R000183B2_33.5'], ['C00034AE4_217.0', 'R000183B2_33.5'], ['C00034AE4_216.0', 'R000183B2_33.5'], ['C00034AE4_215.0', 'R000183B2_33.5'], ['C00034AE4_214.0', 'R000183B2_33.5'], ['C00034AE4_213.0', 'R000183B2_33.5'], ['C00034AE4_212.0', 'R000183B2_33.5'], ['C00034AE4_211.5', 'R000183B2_33.0'], ['C00034AE4_211.0', 'R000183B2_32.5'], ['C00034AE4_210.0', 'R000183B2_32.5'], ['C00034AE4_209.0', 'R000183B2_32.5'], ['C00034AE4_208.0', 'R000183B2_32.5'], ['C00034AE4_207.0', 'R000183B2_32.5'], ['C00034AE4_206.0', 'R000183B2_32.5'], ['C00034AE4_205.0', 'R000183B2_32.5'], ['C00034AE4_204.0', 'R000183B2_32.5'], ['C00034AE4_203.0', 'R000183B2_32.5'], ['C00034AE4_202.0', 'R000183B2_32.5'], ['C00034AE4_201.0', 'R000183B2_32.5'], ['C00034AE4_200.0', 'R000183B2_32.5'], ['C00034AE4_199.0', 'R000183B2_32.5'], ['C00034AE4_198.0', 'R000183B2_32.5'], ['C00034AE4_197.0', 'R000183B2_32.5'], ['C00034AE4_196.0', 'R000183B2_32.5'], ['C00034AE4_195.0', 'R000183B2_32.5'], ['C00034AE4_194.0', 'R000183B2_32.5'], ['C00034AE4_193.0', 'R000183B2_32.5'], ['C00034AE4_192.0', 'R000183B2_32.5'], ['C00034AE4_191.0', 'R000183B2_32.5'], ['C00034AE4_190.5', 'R000183B2_32.0'], ['C00034AE4_190.0', 'R000183B2_31.5'], ['C00034AE4_189.0', 'R000183B2_31.5'], ['C00034AE4_188.0', 'R000183B2_31.5'], ['C00034AE4_187.0', 'R000183B2_31.5'], ['C00034AE4_186.0', 'R000183B2_31.5'], ['C00034AE4_185.0', 'R000183B2_31.5'], ['C00034AE4_184.0', 'R000183B2_31.5'], ['C00034AE4_183.0', 'R000183B2_31.5'], ['C00034AE4_182.0', 'R000183B2_31.5'], ['C00034AE4_181.0', 'R000183B2_31.5'], ['C00034AE4_180.0', 'R000183B2_31.5'], ['C00034AE4_179.0', 'R000183B2_31.5'], ['C00034AE4_178.0', 'R000183B2_31.5'], ['C00034AE4_177.0', 'R000183B2_31.5'], ['C00034AE4_176.0', 'R000183B2_31.5'], ['C00034AE4_175.0', 'R000183B2_31.5'], ['C00034AE4_174.0', 'R000183B2_31.5'], ['C00034AE4_173.0', 'R000183B2_31.5'], ['C00034AE4_172.0', 'R000183B2_31.5'], ['C00034AE4_171.0', 'R000183B2_31.5'], ['C00034AE4_170.0', 'R000183B2_31.5'], ['C00034AE4_169.5', 'R000183B2_31.0'], ['C00034AE4_169.0', 'R000183B2_30.5'], ['C00034AE4_168.5', 'R000183B2_30.0'], ['C00034AE4_168.0', 'R000183B2_29.5'], ['C00034AE4_167.5', 'R000183B2_29.0'], ['C00034AE4_167.5', 'R000183B2_28.0'], ['C00034AE4_167.5', 'R000183B2_27.0'], ['C00034AE4_167.5', 'R000183B2_26.0'], ['C00034AE4_167.5', 'R000183B2_25.0'], ['C00034AE4_167.5', 'R000183B2_24.0'], ['C00034AE4_167.5', 'R000183B2_23.0'], ['C00034AE4_167.5', 'R000183B2_22.0'], ['C00034AE4_167.5', 'R000183B2_21.0'], ['C00034AE4_167.5', 'R000183B2_20.0'], ['C00034AE4_167.5', 'R000183B2_19.0'], ['C00034AE4_168.0', 'R000183B2_18.5'], ['C00034AE4_168.5', 'R000183B2_18.0'], ['C00034AE4_168.5', 'R000183B2_17.0'], ['C00034AE4_168.5', 'R000183B2_16.0'], ['C00034AE4_168.5', 'R000183B2_15.0'], ['C00034AE4_168.5', 'R000183B2_14.0'], ['C00034AE4_168.5', 'R000183B2_13.0'], ['C00034AE4_168.5', 'R000183B2_12.0'], ['C00034AE4_168.5', 'R000183B2_11.0'], ['C00034AE4_168.5', 'R000183B2_10.0'], ['C00034AE4_168.5', 'R000183B2_9.0'], ['C00034AE4_168.5', 'R000183B2_8.0'], ['C00034AE4_168.5', 'R000183B2_7.0'], ['C00034AE4_168.5', 'R000183B2_6.0'], ['C00034AE4_168.5', 'R000183B2_5.0'], ['C00034AE4_168.5', 'R000183B2_4.0'], ['C00034AE4_169.0', 'R000183B2_3.5'], ['C00034AE4_169.5', 'R000183B2_3.0'], ['C00034AE4_169.5', 'R000183B2_2.0'], ['C00034AE4_169.5', 'R000183B2_1.0'], ['C00034AE4_169.5', 'R000183B2_0.0'], ['C00034AE4_169.5', 'R000183B1_255.0'], ['C00034AE4_169.5', 'R000183B1_254.0'], ['C00034AE4_169.5', 'R000183B1_253.0'], ['C00034AE4_169.5', 'R000183B1_252.0'], ['C00034AE4_169.5', 'R000183B1_251.0'], ['C00034AE4_169.5', 'R000183B1_250.0'], ['C00034AE4_169.5', 'R000183B1_249.0'], ['C00034AE4_169.5', 'R000183B1_248.0'], ['C00034AE4_169.5', 'R000183B1_247.0'], ['C00034AE4_169.5', 'R000183B1_246.0'], ['C00034AE4_169.5', 'R000183B1_245.0'], ['C00034AE4_169.5', 'R000183B1_244.0'], ['C00034AE4_169.5', 'R000183B1_243.0'], ['C00034AE4_169.5', 'R000183B1_242.0'], ['C00034AE4_169.5', 'R000183B1_241.0'], ['C00034AE4_169.5', 'R000183B1_240.0'], ['C00034AE4_169.5', 'R000183B1_239.0'], ['C00034AE4_169.5', 'R000183B1_238.0'], ['C00034AE4_170.0', 'R000183B1_237.5'], ['C00034AE4_170.5', 'R000183B1_237.0'], ['C00034AE4_170.5', 'R000183B1_236.0'], ['C00034AE4_170.5', 'R000183B1_235.0'], ['C00034AE4_170.5', 'R000183B1_234.0'], ['C00034AE4_170.5', 'R000183B1_233.0'], ['C00034AE4_170.5', 'R000183B1_232.0'], ['C00034AE4_170.5', 'R000183B1_231.0'], ['C00034AE4_170.5', 'R000183B1_230.0'], ['C00034AE4_170.5', 'R000183B1_229.0'], ['C00034AE4_170.5', 'R000183B1_228.0'], ['C00034AE4_170.5', 'R000183B1_227.0'], ['C00034AE4_170.5', 'R000183B1_226.0'], ['C00034AE4_170.5', 'R000183B1_225.0'], ['C00034AE4_170.5', 'R000183B1_224.0'], ['C00034AE4_170.5', 'R000183B1_223.0'], ['C00034AE4_170.5', 'R000183B1_222.0'], ['C00034AE4_170.5', 'R000183B1_221.0'], ['C00034AE4_170.5', 'R000183B1_220.0'], ['C00034AE4_170.5', 'R000183B1_219.0'], ['C00034AE4_170.5', 'R000183B1_218.0'], ['C00034AE4_170.5', 'R000183B1_217.0'], ['C00034AE4_170.5', 'R000183B1_216.0'], ['C00034AE4_170.5', 'R000183B1_215.0'], ['C00034AE4_171.0', 'R000183B1_214.5'], ['C00034AE4_171.5', 'R000183B1_214.0'], ['C00034AE4_171.5', 'R000183B1_213.0'], ['C00034AE4_171.5', 'R000183B1_212.0'], ['C00034AE4_171.5', 'R000183B1_211.0'], ['C00034AE4_171.5', 'R000183B1_210.0'], ['C00034AE4_171.5', 'R000183B1_209.0'], ['C00034AE4_171.5', 'R000183B1_208.0'], ['C00034AE4_171.5', 'R000183B1_207.0'], ['C00034AE4_171.5', 'R000183B1_206.0'], ['C00034AE4_171.5', 'R000183B1_205.0'], ['C00034AE4_171.5', 'R000183B1_204.0'], ['C00034AE4_171.5', 'R000183B1_203.0'], ['C00034AE4_171.5', 'R000183B1_202.0'], ['C00034AE4_171.5', 'R000183B1_201.0'], ['C00034AE4_172.0', 'R000183B1_200.5'], ['C00034AE4_172.5', 'R000183B1_200.0'], ['C00034AE4_173.0', 'R000183B1_199.5'], ['C00034AE4_173.5', 'R000183B1_199.0'], ['C00034AE4_174.0', 'R000183B1_198.5'], ['C00034AE4_174.5', 'R000183B1_199.0'], ['C00034AE4_175.0', 'R000183B1_199.5'], ['C00034AE4_175.5', 'R000183B1_199.0'], ['C00034AE4_176.0', 'R000183B1_198.5'], ['C00034AE4_177.0', 'R000183B1_198.5'], ['C00034AE4_178.0', 'R000183B1_198.5'], ['C00034AE4_179.0', 'R000183B1_198.5'], ['C00034AE4_180.0', 'R000183B1_198.5'], ['C00034AE4_181.0', 'R000183B1_198.5'], ['C00034AE4_182.0', 'R000183B1_198.5'], ['C00034AE4_182.5', 'R000183B1_199.0'], ['C00034AE4_183.0', 'R000183B1_199.5'], ['C00034AE4_183.5', 'R000183B1_199.0'], ['C00034AE4_184.0', 'R000183B1_198.5'], ['C00034AE4_184.5', 'R000183B1_198.0'], ['C00034AE4_185.0', 'R000183B1_197.5'], ['C00034AE4_185.5', 'R000183B1_197.0'], ['C00034AE4_185.5', 'R000183B1_196.0'], ['C00034AE4_185.5', 'R000183B1_195.0'], ['C00034AE4_185.5', 'R000183B1_194.0'], ['C00034AE4_185.5', 'R000183B1_193.0'], ['C00034AE4_185.5', 'R000183B1_192.0'], ['C00034AE4_185.5', 'R000183B1_191.0'], ['C00034AE4_186.0', 'R000183B1_190.5'], ['C00034AE4_186.5', 'R000183B1_190.0'], ['C00034AE4_187.0', 'R000183B1_189.5'], ['C00034AE4_187.5', 'R000183B1_189.0'], ['C00034AE4_188.0', 'R000183B1_188.5'], ['C00034AE4_188.5', 'R000183B1_189.0'], ['C00034AE4_189.0', 'R000183B1_189.5'], ['C00034AE4_190.0', 'R000183B1_189.5'], ['C00034AE4_191.0', 'R000183B1_189.5'], ['C00034AE4_192.0', 'R000183B1_189.5'], ['C00034AE4_193.0', 'R000183B1_189.5'], ['C00034AE4_194.0', 'R000183B1_189.5'], ['C00034AE4_195.0', 'R000183B1_189.5'], ['C00034AE4_196.0', 'R000183B1_189.5'], ['C00034AE4_197.0', 'R000183B1_189.5'], ['C00034AE4_198.0', 'R000183B1_189.5'], ['C00034AE4_199.0', 'R000183B1_189.5'], ['C00034AE4_200.0', 'R000183B1_189.5'], ['C00034AE4_201.0', 'R000183B1_189.5'], ['C00034AE4_202.0', 'R000183B1_189.5'], ['C00034AE4_203.0', 'R000183B1_189.5'], ['C00034AE4_204.0', 'R000183B1_189.5'], ['C00034AE4_205.0', 'R000183B1_189.5'], ['C00034AE4_206.0', 'R000183B1_189.5'], ['C00034AE4_207.0', 'R000183B1_189.5'], ['C00034AE4_208.0', 'R000183B1_189.5'], ['C00034AE4_209.0', 'R000183B1_189.5'], ['C00034AE4_209.5', 'R000183B1_190.0'], ['C00034AE4_210.0', 'R000183B1_190.5'], ['C00034AE4_211.0', 'R000183B1_190.5'], ['C00034AE4_212.0', 'R000183B1_190.5'], ['C00034AE4_213.0', 'R000183B1_190.5'], ['C00034AE4_214.0', 'R000183B1_190.5'], ['C00034AE4_215.0', 'R000183B1_190.5'], ['C00034AE4_216.0', 'R000183B1_190.5'], ['C00034AE4_217.0', 'R000183B1_190.5'], ['C00034AE4_217.5', 'R000183B1_190.0'], ['C00034AE4_218.0', 'R000183B1_189.5'], ['C00034AE4_218.5', 'R000183B1_190.0'], ['C00034AE4_219.0', 'R000183B1_190.5'], ['C00034AE4_219.5', 'R000183B1_191.0'], ['C00034AE4_220.0', 'R000183B1_191.5'], ['C00034AE4_221.0', 'R000183B1_191.5'], ['C00034AE4_221.5', 'R000183B1_192.0'], ['C00034AE4_222.0', 'R000183B1_192.5'], ['C00034AE4_222.5', 'R000183B1_193.0'], ['C00034AE4_223.0', 'R000183B1_193.5'], ['C00034AE4_223.5', 'R000183B1_193.0'], ['C00034AE4_224.0', 'R000183B1_192.5'], ['C00034AE4_225.0', 'R000183B1_192.5'], ['C00034AE4_226.0', 'R000183B1_192.5'], ['C00034AE4_227.0', 'R000183B1_192.5'], ['C00034AE4_228.0', 'R000183B1_192.5'], ['C00034AE4_229.0', 'R000183B1_192.5'], ['C00034AE4_230.0', 'R000183B1_192.5'], ['C00034AE4_231.0', 'R000183B1_192.5'], ['C00034AE4_231.5', 'R000183B1_192.0'], ['C00034AE4_232.0', 'R000183B1_191.5'], ['C00034AE4_233.0', 'R000183B1_191.5'], ['C00034AE4_234.0', 'R000183B1_191.5'], ['C00034AE4_235.0', 'R000183B1_191.5'], ['C00034AE4_236.0', 'R000183B1_191.5'], ['C00034AE4_237.0', 'R000183B1_191.5'], ['C00034AE4_238.0', 'R000183B1_191.5'], ['C00034AE4_239.0', 'R000183B1_191.5'], ['C00034AE4_240.0', 'R000183B1_191.5'], ['C00034AE4_241.0', 'R000183B1_191.5'], ['C00034AE4_242.0', 'R000183B1_191.5'], ['C00034AE4_243.0', 'R000183B1_191.5'], ['C00034AE4_244.0', 'R000183B1_191.5'], ['C00034AE4_245.0', 'R000183B1_191.5'], ['C00034AE4_246.0', 'R000183B1_191.5'], ['C00034AE4_247.0', 'R000183B1_191.5'], ['C00034AE4_248.0', 'R000183B1_191.5'], ['C00034AE4_249.0', 'R000183B1_191.5'], ['C00034AE4_250.0', 'R000183B1_191.5'], ['C00034AE4_250.5', 'R000183B1_192.0'], ['C00034AE4_251.0', 'R000183B1_192.5'], ['C00034AE4_251.5', 'R000183B1_193.0'], ['C00034AE4_252.0', 'R000183B1_193.5'], ['C00034AE4_252.5', 'R000183B1_194.0'], ['C00034AE4_252.5', 'R000183B1_195.0'], ['C00034AE4_252.5', 'R000183B1_196.0'], ['C00034AE4_252.5', 'R000183B1_197.0'], ['C00034AE4_252.5', 'R000183B1_198.0'], ['C00034AE4_252.5', 'R000183B1_199.0'], ['C00034AE4_252.5', 'R000183B1_200.0'], ['C00034AE4_252.5', 'R000183B1_201.0'], ['C00034AE4_252.5', 'R000183B1_202.0'], ['C00034AE4_252.5', 'R000183B1_203.0'], ['C00034AE4_252.5', 'R000183B1_204.0'], ['C00034AE4_252.5', 'R000183B1_205.0'], ['C00034AE4_252.5', 'R000183B1_206.0'], ['C00034AE4_252.5', 'R000183B1_207.0'], ['C00034AE4_252.5', 'R000183B1_208.0'], ['C00034AE4_252.5', 'R000183B1_209.0'], ['C00034AE4_252.5', 'R000183B1_210.0'], ['C00034AE4_252.5', 'R000183B1_211.0'], ['C00034AE4_252.5', 'R000183B1_212.0'], ['C00034AE4_252.5', 'R000183B1_213.0'], ['C00034AE4_252.5', 'R000183B1_214.0'], ['C00034AE4_252.5', 'R000183B1_215.0'], ['C00034AE4_252.5', 'R000183B1_216.0'], ['C00034AE4_252.5', 'R000183B1_217.0'], ['C00034AE4_252.5', 'R000183B1_218.0'], ['C00034AE4_252.0', 'R000183B1_218.5']]",247.5,200.5,R000183B1,C00034AE4,C00034AE4_247.5,R000183B1_200.5,251,192,R000183B1,C00034AE4,C00034AE4_251,R000183B1_192
7,data/cut_3/R000183B1_C00034AE4_14.png,336,374.5,364,380,便民商店,60200,R000183B1,C00034AE4,超市发,,81,119.5,R000183B1,C00034AE4,C00034AE4_81,R000183B1_119.5,109,125,R000183B1,C00034AE4,C00034AE4_109,R000183B1_125
8,data/cut_3/R000183B1_C00034ADF_4.png,483.5,278,487,280,交通银行,160108,R000183B1,C00034ADF,交通银行,,228.5,23,R000183B1,C00034ADF,C00034ADF_228.5,R000183B1_23,232,25,R000183B1,C00034ADF,C00034ADF_232,R000183B1_25
9,data/cut_3/R000183B1_C00034ADF_8.png,420,461.5,423,454,楼宇,120200,R000183B1,C00034ADF,中科科仪,,165,206.5,R000183B1,C00034ADF,C00034ADF_165,R000183B1_206.5,168,199,R000183B1,C00034ADF,C00034ADF_168,R000183B1_199
