,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,word_x,word_y,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,icon_x,icon_y
0,data/cut/R000183B1_C00034AD0_6.png,302,349,,,,,R000183B1,C00034AD0,畅春园路,,47,94,R000183B1,C00034AD0,C00034AD0_47,R000183B1_94,,,,,,
1,data/cut/R000183B1_C00034AD0_9.png,421.5,400.5,,,,,R000183B1,C00034AD0,瑞德棋苑,"[('C00034AD0_125', 'R000183B1_106'), ('C00034AD0_202', 'R000183B1_106'), ('C00034AD0_202', 'R000183B1_150'), ('C00034AD0_125', 'R000183B1_150')]",166.5,145.5,R000183B1,C00034AD0,C00034AD0_166.5,R000183B1_145.5,,,,,,
2,data/cut/R000183B1_C00034AD0_11.png,424,345.5,424,338,通行设施,990000,R000183B1,C00034AD0,南2门,,169,90.5,R000183B1,C00034AD0,C00034AD0_169,R000183B1_90.5,169,83,R000183B1,C00034AD0,C00034AD0_169,R000183B1_83
3,data/cut/R000183C5_C00034ADC_8.png,430.5,310,431,300,楼宇,120200,R000183C5,C00034ADC,巨人艺术楼,,175.5,55,R000183C5,C00034ADC,C00034ADC_175.5,R000183C5_55,176,45,R000183C5,C00034ADC,C00034ADC_176,R000183C5_45
4,data/cut/R000183C5_C00034ADC_11.png,453.5,437.5,454,428,楼宇,120200,R000183C5,C00034ADC,文化大厦,,198.5,182.5,R000183C5,C00034ADC,C00034ADC_198.5,R000183C5_182.5,199,173,R000183C5,C00034ADC,C00034ADC_199,R000183C5_173
5,data/cut/R000183C5_C00034ADC_16.png,280.5,422.5,280,412,学校内部设施,141207,R000183C5,C00034ADC,红3楼,,25.5,167.5,R000183C5,C00034ADC,C00034ADC_25.5,R000183C5_167.5,25,157,R000183C5,C00034ADC,C00034ADC_25,R000183C5_157
6,data/cut/R000183C5_C00034ADC_35.png,506.5,323.5,507,324,停车场,150900,R000183C5,C00034ADC,P,,251.5,68.5,R000183C5,C00034ADC,C00034ADC_251.5,R000183C5_68.5,252,69,R000183C5,C00034ADC,C00034ADC_252,R000183C5_69
7,data/cut/R000183C5_C00034ADC_37.png,381.5,456,382,457,停车场,150900,R000183C5,C00034ADC,P,,126.5,201,R000183C5,C00034ADC,C00034ADC_126.5,R000183C5_201,127,202,R000183C5,C00034ADC,C00034ADC_127,R000183C5_202
8,data/cut/R000183C5_C00034ADC_38.png,333.5,348,334,348,停车场,150900,R000183C5,C00034ADC,P,,78.5,93,R000183C5,C00034ADC,C00034ADC_78.5,R000183C5_93,79,93,R000183C5,C00034ADC,C00034ADC_79,R000183C5_93
9,data/cut/R000183B1_C00034AE4_0.png,417.5,417.5,419,399,公检法机构,130500,R000183B1,C00034AE4,★科技园区警务工作室,,162.5,162.5,R000183B1,C00034AE4,C00034AE4_162.5,R000183B1_162.5,164,144,R000183B1,C00034AE4,C00034AE4_164,R000183B1_144
10,data/cut/R000183B1_C00034AE4_1.png,291,497.5,,,,,R000183B1,C00034AE4,北京小背篓搬家有限公司,,36,242.5,R000183B1,C00034AE4,C00034AE4_36,R000183B1_242.5,,,,,,
11,data/cut/R000183B1_C00034AE4_5.png,401,474,,,,,R000183B1,C00034AE4,科馨社区服务站,,146,219,R000183B1,C00034AE4,C00034AE4_146,R000183B1_219,,,,,,
